kAW,kPC,kAWPC,kDAW,kDPC,kDAWPC,tAW,tPC,tAWPC,tDAW,tDPC,tDAWPC
     NA,1.0e+00,1.0e+00,1.9e-02,5.6e-01,5.0e-04,2.0e-01,6.9e-02,1.0e-01,1.0e+00,1.0e+00,1.0e+00
     NA,     NA,1.0e+00,2.0e-02,1.4e-02,7.3e-04,1.0e+00,3.8e-01,1.0e+00,1.0e+00,1.0e+00,1.0e+00
     NA,     NA,     NA,9.1e-02,6.7e-01,2.0e-03,2.2e-01,1.8e-02,9.0e-02,1.0e+00,1.0e+00,1.0e+00
     NA,     NA,     NA,     NA,1.0e+00,1.0e+00,1.2e-06,3.6e-07,3.2e-07,4.8e-03,1.3e-02,1.2e-04
     NA,     NA,     NA,     NA,     NA,1.0e+00,4.4e-06,1.2e-06,2.7e-06,4.8e-02,3.4e-02,2.0e-04
     NA,     NA,     NA,     NA,     NA,     NA,2.8e-08,3.6e-09,1.7e-08,6.2e-05,5.5e-04,1.6e-05
     NA,     NA,     NA,     NA,     NA,     NA,     NA,1.0e+00,1.0e+00,4.5e-02,1.5e-01,1.0e+00
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,1.0e+00,3.5e-02,1.4e-03,1.0e+00
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,5.3e-02,5.6e-02,1.0e+00
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,1.0e+00,1.0e+00
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,1.0e+00
     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA
